code,name
301669,高特电子
600001,邯郸钢铁
600002,齐鲁石化
600003,ST东北高
600005,武钢股份
600065,*ST联谊
600068,葛洲坝
600069,退市银鸽
600070,*ST富润
600074,退市保千
600077,*ST宋都
600083,*ST博信
600086,退市金钰
600087,退市长油
600090,退市济堂
600091,退市明科
600092,S*ST精密
600093,退市易见
600102,莱钢股份
600112,*ST天成
600122,*ST宏图
600139,*ST西源
600145,退市新亿
600146,退市环球
600175,退市美都
600181,S*ST云大
600190,退市锦港
600200,退市苏吴
600205,S山东铝
600209,退市罗顿
600213,*ST亚星
600220,ST阳光
600225,退市卓朗
600240,退市华业
600242,退市中昌
600247,*ST成城
600253,天方药业
600260,*ST凯乐
600263,路桥建设
600270,外运发展
600275,退市昌鱼
600277,ST亿利
600286,S*ST国瓷
600290,*ST华仪
600291,退市西水
600296,S兰铝
600297,广汇汽车
600306,退市商城
600311,*ST荣华
600317,营口港
600321,正源股份
600349,富通昭和
600357,承德钒钛
600385,退市金泰
600387,退市海越
600393,ST粤泰
600401,退市海润
600432,退市吉恩
600462,退市九有
600466,*ST蓝光
600472,包头铝业
600485,*ST信威
600532,退市未来
600553,太行水泥
600555,退市海创
600565,ST迪马
600591,*ST上航
600607,上实医药
600614,退市鹏起
600625,PT水仙
600627,上电股份
600631,百联股份(已合并)
600632,华联商厦
600634,退市富控
600646,ST国嘉
600647,退市同达
600652,退市游久
600656,退市博元
600659,*ST花雕
600669,*ST鞍成
600670,*ST斯达
600672,*ST华圣
600677,*ST航通
600680,*ST上普
600687,退市刚泰
600695,退市绿庭
600700,*ST数码
600701,退市工新
600705,中航产融
600709,ST生态
600723,首商股份
600747,退市大控
600752,*ST哈慈
600762,S*ST金荔
600766,退市园城
600767,退市运盛
600772,S*ST龙昌
600781,退市辅仁
600786,东方锅炉
600788,*ST达曼
600799,*ST龙科
600804,退市鹏博
600806,退市昆机
600811,*ST东方
600813,ST鞍一工
600823,*ST世茂
600832,东方明珠
600836,*ST易连
600837,海通证券
600840,新湖创业
600842,中西药业
600852,*ST中川
600856,退市中天
600870,退市厦华
600878,*ST北科
600890,退市中房
600891,退市秋林
600896,退市海医
600898,*ST美讯
600899,*ST信联
600978,*ST宜生
600991,广汽长丰
601028,玉龙股份
601258,*ST庞大
601268,*ST二重
601299,中国北车
601558,退市锐电
601989,中国重工
603003,退市龙宇
603133,退市碳元
603157,退市拉夏
603302,鑫广绿环
603361,浙江国祥
603388,*ST元成
603555,ST贵人
603603,退市博天
603963,*ST大药
603996,退市中新
688086,退市紫晶
688555,退市泽达
688688,蚂蚁集团
